Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,1,16,1000000,1024,2018482,29.43,1894709,3.312000,0.972000,29.43,1896333,3.604000,0.720000,
ibv_rc_pingpong,1,16,1000000,1024,2047803,53.55,1219397,2.432000,0.468000,53.55,1230864,2.416000,0.480000,
ibv_uc_pingpong,0,16,1000000,2048,26,135.54,16,1.888000,0.000000,135.54,15,1.888000,0.000000,
ibv_rc_pingpong,0,16,1000000,2048,26,133.03,17,1.924000,0.000000,133.03,17,1.924000,0.000000,
ibv_uc_pingpong,1,16,1000000,2048,2023996,29.90,1887614,3.484000,0.784000,29.90,1890185,3.540000,0.724000,
ibv_rc_pingpong,1,16,1000000,2048,2043240,56.90,1157371,2.420000,0.312000,56.90,1162132,2.324000,0.388000,
ibv_uc_pingpong,0,16,1000000,4096,26,135.88,17,1.884000,0.000000,135.88,15,1.884000,0.000000,
ibv_rc_pingpong,0,16,1000000,4096,26,133.33,16,1.920000,0.000000,133.33,16,1.916000,0.004000,
ibv_uc_pingpong,1,16,1000000,4096,2023524,29.83,1880989,3.636000,0.628000,29.83,1881056,3.572000,0.612000,
ibv_rc_pingpong,1,16,1000000,4096,2053631,53.39,1240247,2.488000,0.384000,53.40,1244690,2.452000,0.432000,
ibv_uc_pingpong,0,32,1000000,1024,38,176.46,16,2.900000,0.000000,176.47,15,2.900000,0.000000,
ibv_rc_pingpong,0,32,1000000,1024,26,174.45,18,2.936000,0.000000,174.46,15,2.936000,0.000000,
ibv_uc_pingpong,1,32,1000000,1024,2028689,49.02,1986258,3.456000,1.232000,49.02,1985597,3.484000,1.220000,
ibv_rc_pingpong,1,32,1000000,1024,2032858,54.90,1983235,3.796000,0.680000,54.90,1983597,3.732000,0.772000,
ibv_uc_pingpong,0,32,1000000,2048,26,176.79,16,2.892000,0.004000,176.79,15,2.896000,0.000000,
ibv_rc_pingpong,0,32,1000000,2048,36,174.53,16,2.932000,0.000000,174.54,15,2.936000,0.000000,
ibv_uc_pingpong,1,32,1000000,2048,2027320,49.04,1987076,3.456000,1.268000,49.04,1986658,3.400000,1.300000,
ibv_rc_pingpong,1,32,1000000,2048,2032220,54.39,1982573,3.596000,0.896000,54.39,1983292,3.720000,0.800000,
ibv_uc_pingpong,0,32,1000000,4096,38,176.43,16,2.904000,0.000000,176.43,15,2.896000,0.004000,
ibv_rc_pingpong,0,32,1000000,4096,26,174.54,16,2.932000,0.000000,174.55,15,2.936000,0.000000,
ibv_uc_pingpong,1,32,1000000,4096,2027107,49.50,1988261,3.672000,0.944000,49.50,1988265,3.532000,1.088000,
ibv_rc_pingpong,1,32,1000000,4096,2035918,53.71,1984175,3.628000,0.936000,53.71,1984321,3.632000,0.956000,
ibv_uc_pingpong,0,64,1000000,1024,26,341.65,16,2.996000,0.000000,341.67,15,2.996000,0.004000,
ibv_rc_pingpong,0,64,1000000,1024,38,338.71,16,3.024000,0.000000,338.71,15,3.024000,0.000000,
ibv_uc_pingpong,1,64,1000000,1024,2034424,99.72,1990363,3.668000,0.876000,99.72,1990132,3.540000,0.976000,
ibv_rc_pingpong,1,64,1000000,1024,2033382,108.59,1987141,3.764000,0.808000,108.59,1987671,3.712000,0.820000,
ibv_uc_pingpong,0,64,1000000,2048,26,342.52,16,2.988000,0.000000,342.54,15,2.988000,0.000000,
ibv_rc_pingpong,0,64,1000000,2048,26,338.66,16,3.024000,0.000000,338.67,15,3.024000,0.000000,
ibv_uc_pingpong,1,64,1000000,2048,2026459,98.75,1989885,3.716000,0.904000,98.75,1990217,3.600000,1.020000,
ibv_rc_pingpong,1,64,1000000,2048,2035817,110.51,1986642,3.860000,0.616000,110.51,1987166,3.748000,0.700000,
ibv_uc_pingpong,0,64,1000000,4096,37,342.38,16,2.992000,0.000000,342.39,15,2.992000,0.000000,
ibv_rc_pingpong,0,64,1000000,4096,26,338.38,16,3.028000,0.000000,338.39,15,3.024000,0.004000,
ibv_uc_pingpong,1,64,1000000,4096,2030027,97.33,1991374,3.692000,0.968000,97.33,1992359,3.528000,1.188000,
ibv_rc_pingpong,1,64,1000000,4096,2032710,110.17,1986550,3.728000,0.752000,110.17,1987044,3.796000,0.724000,
ibv_uc_pingpong,0,128,1000000,1024,24,654.74,16,3.128000,0.000000,654.75,15,3.128000,0.000000,
ibv_rc_pingpong,0,128,1000000,1024,26,646.50,16,3.168000,0.000000,646.54,15,3.168000,0.000000,
