use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
0,1024,1000000,2048,42,3507.99,20,4.672000,0.000000,3508.00,15,4.668000,0.000000,
1,1024,1000000,2048,2009660,1397.91,1999167,3.576000,1.260000,1397.92,1999288,3.684000,1.204000,
0,1024,1000000,4096,28,3504.44,20,4.676000,0.000000,3504.45,15,4.676000,0.000000,
1,1024,1000000,4096,2009770,1404.89,1999274,3.736000,1.068000,1404.90,1999247,3.764000,1.128000,
0,2048,1000000,1024,30,6078.39,18,5.392000,0.000000,6078.50,17,5.392000,0.000000,
1,2048,1000000,1024,2003794,2635.40,1999443,3.692000,1.036000,2635.45,1999536,3.660000,1.084000,
0,2048,1000000,2048,39,5124.26,18,6.396000,0.000000,5124.37,17,6.396000,0.000000,
1,2048,1000000,2048,2002209,2379.18,1999521,3.464000,1.476000,2379.20,1999535,3.752000,1.280000,
0,2048,1000000,4096,39,5108.04,20,6.416000,0.000000,5108.14,15,6.416000,0.000000,
1,2048,1000000,4096,2003037,2349.89,1999458,3.432000,1.560000,2349.91,1999370,3.460000,1.572000,
0,4096,976562,1024,42,9724.91,18,6.580000,0.000000,9725.18,17,6.580000,0.000000,
1,4096,976562,1024,1955769,4587.28,1952630,3.252000,1.720000,4587.30,1952647,3.396000,1.564000,
0,4096,976562,2048,30,8336.47,18,7.676000,0.000000,8336.59,17,7.676000,0.000000,
1,4096,976562,2048,1955046,4242.12,1952677,3.308000,1.712000,4242.15,1952635,3.308000,1.728000,
0,4096,976562,4096,40,6586.67,20,9.716000,0.000000,6586.75,15,9.716000,0.000000,
1,4096,976562,4096,1955795,3635.61,1952656,3.100000,2.204000,3635.64,1952628,3.040000,2.260000,
0,8192,488281,1024,30,13827.65,18,4.628000,0.000000,13828.19,17,4.628000,0.000000,
1,8192,488281,1024,977321,7531.70,976353,1.524000,1.064000,7531.76,976345,1.576000,1.044000,
0,8192,488281,2048,27,12454.19,18,5.136000,0.004000,12454.48,17,5.140000,0.000000,
1,8192,488281,2048,977291,7081.30,976363,1.584000,1.040000,7081.45,976353,1.608000,1.012000,
0,8192,488281,4096,42,10342.85,20,6.188000,0.000000,10342.94,15,6.188000,0.000000,
1,8192,488281,4096,977519,6345.22,976266,1.636000,0.968000,6345.40,976252,1.584000,1.024000,
0,16384,244140,1024,27,17623.66,20,3.632000,0.000000,17624.55,15,3.632000,0.000000,
1,16384,244140,1024,488744,11243.08,488138,0.692000,0.692000,11243.37,488176,0.732000,0.648000,
0,16384,244140,2048,27,16550.76,18,3.868000,0.000000,16551.48,17,3.868000,0.000000,
1,16384,244140,2048,488826,10485.25,488133,0.632000,0.868000,10485.46,488121,0.668000,0.832000,
0,16384,244140,4096,28,14530.92,18,4.404000,0.000000,14531.31,17,4.404000,0.000000,
1,16384,244140,4096,488906,9550.31,488082,0.540000,0.992000,9550.46,488095,0.604000,0.916000,
0,32768,122070,1024,28,20502.47,20,3.124000,0.000000,20503.19,15,3.124000,0.000000,
1,32768,122070,1024,244596,15031.56,243985,0.344000,0.416000,15032.47,243980,0.308000,0.460000,
0,32768,122070,2048,30,19890.19,18,3.220000,0.000000,19890.89,17,3.220000,0.000000,
1,32768,122070,2048,244575,14660.60,243987,0.276000,0.504000,14661.13,243984,0.340000,0.440000,
0,32768,122070,4096,42,18381.75,18,3.480000,0.004000,18383.02,17,3.480000,0.000000,
1,32768,122070,4096,244651,12224.58,243942,0.368000,0.848000,12224.71,243912,0.380000,0.828000,
0,65536,61035,1024,42,22354.34,18,2.864000,0.000000,22355.86,17,2.864000,0.000000,
1,65536,61035,1024,122683,16891.98,121761,0.184000,0.436000,16892.43,121828,0.220000,0.388000,
0,65536,61035,2048,28,22069.56,18,2.896000,0.004000,22070.44,17,2.900000,0.000000,
1,65536,61035,2048,122578,17036.75,121819,0.132000,0.376000,17037.28,121912,0.128000,0.376000,
0,65536,61035,4096,30,21137.80,18,3.028000,0.000000,21138.63,17,3.028000,0.000000,
1,65536,61035,4096,122461,16360.98,121940,0.124000,0.388000,16362.04,121894,0.140000,0.376000,
0,131072,30517,1024,42,23356.93,18,2.740000,0.000000,23358.01,17,2.740000,0.000000,
1,131072,30517,1024,61072,20283.78,61049,0.060000,0.224000,20284.54,61050,0.108000,0.168000,
0,131072,30517,2048,27,23331.40,20,2.744000,0.000000,23333.06,15,2.744000,0.000000,
1,131072,30517,2048,61085,20319.65,61046,0.080000,0.188000,20320.40,61049,0.060000,0.212000,
0,131072,30517,4096,30,22721.35,18,2.816000,0.000000,22722.96,17,2.816000,0.000000,
1,131072,30517,4096,61072,19894.50,61054,0.060000,0.212000,19896.19,61047,0.048000,0.224000,
0,262144,15258,1024,30,23997.30,18,2.668000,0.000000,23998.35,17,2.668000,0.000000,
1,262144,15258,1024,30559,22055.70,30536,0.020000,0.132000,22056.07,30531,0.040000,0.124000,
0,262144,15258,2048,30,23917.90,18,2.668000,0.008000,23919.62,17,2.672000,0.004000,
1,262144,15258,2048,30548,22110.03,30535,0.040000,0.120000,22110.86,30531,0.032000,0.120000,
0,262144,15258,4096,39,23608.49,18,2.712000,0.000000,23608.93,17,2.712000,0.000000,
1,262144,15258,4096,30548,21829.07,30533,0.056000,0.092000,21829.51,30533,0.044000,0.112000,
0,524288,7629,1024,29,24288.28,18,2.636000,0.000000,24289.28,17,2.636000,0.000000,
1,524288,7629,1024,15289,22382.76,15276,0.056000,0.084000,22383.74,15275,0.044000,0.056000,
0,524288,7629,2048,42,24251.85,18,2.640000,0.000000,24253.59,17,2.636000,0.004000,
1,524288,7629,2048,15289,22834.61,15278,0.028000,0.072000,22835.65,15273,0.024000,0.104000,
0,524288,7629,4096,30,24176.15,20,2.648000,0.000000,24176.43,15,2.648000,0.000000,
1,524288,7629,4096,15301,22634.81,15278,0.012000,0.096000,22635.24,15273,0.020000,0.088000,
0,1048576,3814,1024,30,24345.61,20,2.632000,0.000000,24347.28,15,2.628000,0.000000,
1,1048576,3814,1024,7656,21398.45,7648,0.068000,0.112000,21399.30,7643,0.060000,0.104000,
0,1048576,3814,2048,30,24422.34,21,2.620000,0.000000,24423.38,16,2.620000,0.000000,
1,1048576,3814,2048,7668,21883.14,7648,0.056000,0.052000,21885.14,7643,0.056000,0.088000,
0,1048576,3814,4096,30,24414.47,18,2.624000,0.000000,24416.09,17,2.624000,0.000000,
1,1048576,3814,4096,7658,21386.82,7648,0.100000,0.076000,21387.54,7643,0.068000,0.104000,
0,2097152,1907,1024,28,24520.50,18,2.608000,0.004000,24521.86,17,2.612000,0.000000,
1,2097152,1907,1024,3854,22172.53,3834,0.016000,0.112000,22173.51,3829,0.028000,0.104000,
0,2097152,1907,2048,30,24594.33,18,2.604000,0.000000,24596.16,17,2.604000,0.000000,
1,2097152,1907,2048,3841,22323.90,3834,0.012000,0.104000,22324.55,3829,0.028000,0.096000,
0,2097152,1907,4096,40,24541.12,18,2.612000,0.000000,24542.88,17,2.608000,0.000000,
1,2097152,1907,4096,3841,22184.76,3834,0.028000,0.076000,22187.01,3829,0.016000,0.120000,
0,4194304,1000,1024,30,24506.71,20,2.740000,0.000000,24507.69,15,2.740000,0.000000,
1,4194304,1000,1024,2027,22999.53,2018,0.008000,0.036000,23000.30,2017,0.000000,0.076000,
0,4194304,1000,2048,40,24604.65,20,2.728000,0.004000,24605.19,15,2.728000,0.004000,
1,4194304,1000,2048,2027,23220.98,2018,0.008000,0.052000,23222.50,2017,0.032000,0.032000,
0,4194304,1000,4096,30,24570.72,18,2.736000,0.000000,24571.99,17,2.736000,0.000000,
1,4194304,1000,4096,2037,23185.82,2020,0.008000,0.056000,23186.62,2015,0.000000,0.064000,
0,8388608,1000,1024,28,22608.22,18,5.936000,0.004000,22608.32,17,5.940000,0.000000,
1,8388608,1000,1024,2037,21506.59,2020,0.024000,0.028000,21506.90,2015,0.016000,0.060000,
0,8388608,1000,2048,29,22636.17,18,5.932000,0.000000,22636.92,17,5.924000,0.008000,
1,8388608,1000,2048,2038,21618.60,2018,0.016000,0.028000,21618.77,2017,0.000000,0.084000,
0,8388608,1000,4096,38,22695.72,20,5.916000,0.000000,22696.43,15,5.916000,0.004000,
1,8388608,1000,4096,2027,21631.27,2020,0.028000,0.056000,21631.77,2015,0.000000,0.056000,
0,16777216,1000,1024,39,22588.01,18,11.888000,0.000000,22588.21,17,11.884000,0.004000,
1,16777216,1000,1024,2051,21671.05,2020,0.020000,0.076000,21671.12,2015,0.016000,0.064000,
0,16777216,1000,2048,42,22605.39,18,11.876000,0.004000,22605.60,17,11.880000,0.000000,
1,16777216,1000,2048,2038,21886.33,2018,0.020000,0.072000,21886.52,2017,0.024000,0.068000,
0,16777216,1000,4096,40,22546.06,20,11.904000,0.008000,22546.33,15,11.904000,0.008000,
1,16777216,1000,4096,2038,21979.12,2020,0.016000,0.068000,21979.54,2015,0.000000,0.052000,
