Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,1,16,1000000,1024,2110538,8.99,1826038,3.364797,8.377980,8.99,1542920,3.828598,10.269580,
ibv_rc_pingpong,1,16,1000000,1024,2112896,8.75,1842655,3.409664,8.328872,8.75,1568449,4.114471,10.283201,
ibv_uc_pingpong,0,16,1000000,2048,34,46.92,21,5.461830,0.004001,46.92,19,5.457058,0.007995,
ibv_rc_pingpong,0,16,1000000,2048,34,45.98,21,5.567651,0.008005,45.98,19,5.569427,0.008002,
ibv_uc_pingpong,1,16,1000000,2048,2113997,8.90,1986012,3.348568,9.045821,8.90,1986376,3.262689,9.348959,
ibv_rc_pingpong,1,16,1000000,2048,2059195,9.83,1916605,3.506329,8.815466,9.83,1920816,3.402468,8.498473,
ibv_uc_pingpong,0,16,1000000,4096,34,47.54,21,5.390579,0.004001,47.54,19,5.383439,0.011998,
ibv_rc_pingpong,0,16,1000000,4096,34,46.02,21,5.566137,0.003998,46.02,19,5.564256,0.008000,
ibv_uc_pingpong,1,16,1000000,4096,2165677,9.38,1780849,2.936522,8.454889,9.38,1391082,3.865884,10.348843,
ibv_rc_pingpong,1,16,1000000,4096,2089784,9.83,1921135,3.709886,8.472441,9.83,1920561,3.472170,8.938880,
ibv_uc_pingpong,0,32,1000000,1024,34,53.15,21,9.631549,0.007996,53.15,19,9.630588,0.011993,
ibv_rc_pingpong,0,32,1000000,1024,34,52.51,21,9.748433,0.008000,52.52,19,9.755134,0.003999,
ibv_uc_pingpong,1,32,1000000,1024,2019347,13.78,1999909,2.966678,9.218461,13.78,1968975,3.492731,12.397077,
ibv_rc_pingpong,1,32,1000000,1024,2008016,16.85,1995736,3.176033,8.854717,16.85,1996660,3.369748,9.230874,
ibv_uc_pingpong,0,32,1000000,2048,34,53.02,21,9.657924,0.007998,53.02,19,9.659934,0.004001,
ibv_rc_pingpong,0,32,1000000,2048,34,52.47,21,9.763155,0.003999,52.47,19,9.762728,0.004001,
ibv_uc_pingpong,1,32,1000000,2048,2079549,15.43,1985478,3.242960,9.179753,15.43,1985065,2.978680,9.283727,
ibv_rc_pingpong,1,32,1000000,2048,2008278,16.51,1996999,3.092751,9.351392,16.51,1997521,2.910535,9.733419,
ibv_uc_pingpong,0,32,1000000,4096,34,52.87,21,9.679749,0.011994,52.88,19,9.689149,0.004000,
ibv_rc_pingpong,0,32,1000000,4096,34,52.55,21,9.742694,0.007998,52.55,19,9.752231,0.000000,
ibv_uc_pingpong,1,32,1000000,4096,2058982,15.57,1998445,3.049348,9.475661,15.57,1998793,2.849539,9.432600,
ibv_rc_pingpong,1,32,1000000,4096,2011081,13.77,1974568,3.975368,11.914681,13.77,1999948,3.166662,9.291922,
ibv_uc_pingpong,0,64,1000000,1024,34,102.47,21,9.997979,0.003997,102.47,19,9.998732,0.003997,
ibv_rc_pingpong,0,64,1000000,1024,34,102.14,21,10.032915,0.000000,102.14,19,10.031262,0.003999,
ibv_uc_pingpong,1,64,1000000,1024,2020172,27.68,1964050,3.659599,12.215299,27.68,1999966,2.928086,9.480481,
ibv_rc_pingpong,1,64,1000000,1024,2007532,32.50,1997172,3.417021,9.096735,32.50,1997676,3.188263,9.539919,
ibv_uc_pingpong,0,64,1000000,2048,34,102.50,21,9.990661,0.007998,102.50,19,9.996072,0.004000,
ibv_rc_pingpong,0,64,1000000,2048,34,101.91,21,10.052299,0.003998,101.91,19,10.048136,0.008000,
ibv_uc_pingpong,1,64,1000000,2048,2060275,30.99,1998664,2.885695,9.523832,30.99,1999043,2.953961,9.286123,
ibv_rc_pingpong,1,64,1000000,2048,2010370,27.68,1972937,3.882221,12.038447,27.68,1999954,3.204573,9.324309,
ibv_uc_pingpong,0,64,1000000,4096,34,102.39,21,10.005465,0.004000,102.39,19,10.002290,0.007998,
ibv_rc_pingpong,0,64,1000000,4096,34,101.81,21,10.061461,0.004000,101.81,19,10.059525,0.008002,
ibv_uc_pingpong,1,64,1000000,4096,2057018,30.82,1998189,2.992911,9.517459,30.82,1998640,2.911686,8.999286,
